num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
18773	88948.203836	80.545394	-14.275998	3.540319	29.881345
18775	88950.283508	80.374320	-14.238204	3.536707	30.419867
18777	88952.363617	80.141626	-14.274508	3.533358	29.335977
18781	88956.526326	79.797138	-14.312623	3.525988	30.472263
18783	88958.607868	79.572181	-14.573364	3.517725	29.478916
18785	88960.687474	79.757718	-14.349598	3.516409	30.360246
18789	88964.840988	79.873228	-14.345722	3.514327	28.890885
18791	88966.915276	79.634226	-14.379474	3.515177	30.547448
18793	88968.990942	79.458087	-14.395983	3.514183	29.041618
18797	88973.143995	79.127998	-14.451473	3.509440	29.390469
18799	88975.221391	79.049106	-14.466283	3.505990	29.606873
18801	88977.299514	78.859067	-14.443384	3.503009	28.311505
18805	88981.456182	78.619186	-14.449705	3.496404	29.439029
18807	88983.534663	78.484436	-14.472049	3.492781	29.039758
18809	88985.612887	78.309811	-14.494575	3.488670	28.725077
18813	88989.771417	77.896381	-14.484001	3.484550	28.627936
18815	88991.852183	77.668271	-14.488340	3.483445	28.553107
18817	88993.933153	77.586403	-14.535019	3.481722	29.151134
18821	88998.095308	77.315822	-14.501506	3.479218	28.684712
18823	89000.174513	77.258804	-14.505879	3.476512	28.389936
18825	89002.251957	77.175959	-14.502405	3.474166	28.374158
18829	89006.404998	77.107320	-14.612181	3.467037	28.004134
18831	89008.480640	76.961589	-14.521924	3.463997	27.258772
18833	89010.556809	76.847910	-14.525902	3.459610	26.960142
18835	89012.633578	76.726911	-14.523989	3.456857	27.168480
18839	89016.787836	76.437110	-14.518584	3.452868	27.430908
18841	89018.865657	76.359942	-14.546096	3.450397	27.222486
18843	89020.943916	76.208366	-14.523287	3.448336	28.274310
18847	89025.100420	75.825137	-14.560228	3.443735	27.605779
18849	89027.179343	75.735022	-14.553775	3.440140	26.660330
18851	89029.258524	75.678118	-14.567323	3.437722	26.573600
18855	89033.418394	75.142478	-14.560111	3.432902	26.535775
18857	89035.498702	75.197538	-14.603268	3.428372	27.115315
18859	89037.579482	74.875588	-14.584256	3.425934	25.669692
18863	89041.739190	74.703460	-14.598912	3.417845	26.233845
18865	89043.817442	74.668804	-14.630123	3.414947	26.577680
18867	89045.894252	74.570540	-14.662246	3.412820	26.956480
18871	89050.045523	74.401438	-14.652762	3.412281	26.356684
18873	89052.121028	74.264020	-14.631301	3.411474	25.871221
18875	89054.197233	74.062388	-14.633424	3.409583	25.213910
18877	89056.273749	73.906463	-14.618276	3.407000	26.170913
18881	89060.428650	73.626314	-14.626361	3.400526	25.711214
18883	89062.506722	73.431465	-14.598804	3.397529	25.523630
18885	89064.585054	73.426328	-14.626269	3.393872	26.135037
18889	89068.742439	72.880706	-14.607977	3.388446	25.085559
18891	89070.822117	72.684566	-14.634189	3.384555	25.288472
18893	89072.901916	72.549738	-14.586213	3.384782	25.148964
18897	89077.063228	72.250636	-14.561067	3.382086	24.886571
18899	89079.143665	72.142221	-14.614379	3.379368	24.226114
18901	89081.223465	71.936850	-14.578571	3.376733	23.968584
18905	89085.379919	71.830667	-14.511186	3.372774	24.043846
18907	89087.456712	71.725346	-14.499819	3.370104	24.305337
18909	89089.533210	71.543910	-14.557723	3.366755	23.392262
18911	89091.609482	71.599842	-14.492279	3.364497	23.127382
18913	89093.685921	71.389039	-14.462094	3.360691	23.712163
18915	89095.762745	71.245778	-14.452743	3.357394	23.497214
18917	89097.839861	71.133004	-14.455793	3.354647	23.875165
18921	89101.994839	70.790278	-14.432732	3.350024	23.211618
18923	89104.072738	70.643218	-14.423593	3.347095	23.118551
18925	89106.151301	70.492689	-14.404399	3.345053	23.163537
18929	89110.309457	70.144867	-14.389535	3.340798	23.324259
18931	89112.388989	70.010289	-14.369616	3.338178	22.501496
18933	89114.468974	69.874030	-14.384642	3.335551	22.894485
18935	89116.548718	69.716572	-14.364800	3.332249	22.542140
18937	89118.628411	69.622163	-14.373176	3.328618	22.083572
18939	89120.707443	69.542270	-14.372682	3.325454	22.714279
18943	89124.862692	69.451483	-14.371124	3.321014	22.832816
18945	89126.939041	69.395823	-14.403128	3.318867	22.222310
18947	89129.015049	69.167095	-14.373444	3.318129	22.402502
18951	89133.166679	69.010865	-14.348947	3.316202	22.284324
18953	89135.242844	68.856912	-14.338424	3.313881	21.632732
18955	89137.319902	68.765328	-14.343001	3.311147	22.727541
18957	89139.396942	68.600844	-14.310326	3.308539	22.190272
18961	89143.552538	68.288070	-14.302407	3.302471	22.022417
18963	89145.630922	67.964300	-14.268055	3.297751	22.027298
18965	89147.709735	68.040877	-14.273472	3.297206	21.285179
18967	89149.788472	67.912262	-14.255806	3.294914	22.087583
18969	89151.868283	67.865224	-14.279950	3.291856	21.641194
18971	89153.948073	67.690552	-14.252740	3.290456	21.686353
18973	89156.028589	67.527200	-14.241578	3.288967	21.990593
18975	89158.108679	67.407353	-14.201266	3.287706	21.056811
18977	89160.188861	67.339816	-14.170097	3.285542	21.494944
18979	89162.268403	67.241418	-14.175796	3.283427	20.953071
18983	89166.425729	67.156007	-14.171781	3.277598	21.113760
18985	89168.502942	66.951048	-14.110442	3.275615	21.301785
18987	89170.579906	66.785953	-14.087936	3.272688	20.650230
18991	89174.733462	66.633711	-14.050370	3.268152	20.682745
18993	89176.810399	66.535410	-14.035953	3.264805	20.425181
18995	89178.887668	66.494101	-14.051365	3.261702	20.870416
18999	89183.043000	66.152432	-13.989460	3.256540	20.556843
19001	89185.121080	66.040439	-13.976909	3.253979	20.108217
19003	89187.199999	65.911267	-13.958137	3.251576	20.254405
19007	89191.357581	65.707562	-13.936694	3.247016	20.082377
19009	89193.437071	65.397445	-13.963261	3.243450	19.871004
19011	89195.516351	65.606068	-13.949901	3.240054	20.185347
19013	89197.595621	65.347007	-13.912395	3.237706	19.448664
19015	89199.674334	65.437038	-13.958588	3.232673	19.874805
19017	89201.752451	65.224154	-13.920941	3.232039	19.833617
19019	89203.829892	65.199407	-13.863379	3.230217	19.857586
19021	89205.906675	65.163996	-13.884245	3.228063	20.085914
19023	89207.983124	65.137614	-13.878370	3.226879	19.729148
19025	89210.058760	65.070061	-13.867784	3.225530	19.753706
19027	89212.134654	65.048340	-13.846384	3.223672	19.868089
19029	89214.210865	64.883047	-13.853951	3.222120	19.891122
19031	89216.287248	64.716279	-13.825974	3.220204	19.543730
19035	89220.441419	64.624434	-13.830003	3.214106	19.360196
19037	89222.519108	64.390909	-13.778159	3.212734	19.507716
19039	89224.597472	64.261951	-13.744621	3.209811	19.551901
19043	89228.754302	64.025644	-13.711484	3.205015	18.946542
19045	89230.833810	64.014635	-13.714743	3.201708	19.056838
19047	89232.913129	63.898191	-13.693073	3.200739	19.139026
19051	89237.073140	63.591347	-13.629761	3.198061	19.326103
19053	89239.153403	63.629561	-13.605368	3.195402	19.019199
19055	89241.232930	63.345375	-13.619773	3.193814	18.630435
19059	89245.391371	63.259239	-13.536886	3.189824	19.448643
19061	89247.469417	63.172729	-13.518485	3.187393	19.103159
19063	89249.547421	63.263885	-13.500989	3.184657	18.988754
19067	89253.701827	62.924745	-13.465299	3.180524	18.835671
